=== MULTI-YEAR VALIDATION: XAUUSD M15 2015-2026 (258,220 bars) ===
Config: preset=live robust-4 + confluence + regime=ANY tp1=2.0R early-BE=off | risk 0.3%
Rules: daily-loss 5.00%, overall-loss 10.00%, consistency, weekend-flatten, news-blackout

year      bars  trades   WR%    PF    ret%    avgR  maxDD%  breach
2015     23361     175    38  0.93   -1.28  -0.006     3.2      no
2016     23538     181    39  1.09   +1.75  +0.061     3.1      no
2017     23439     102    41  1.14   +1.32  +0.113     1.6      no
2018     23487     102    42  1.05   +0.45  +0.090     2.0      no
2019     23475     139    44  1.21   +2.71  +0.111     3.9      no
2020     23611     216    44  1.23   +5.85  +0.109     2.4      no
2021     23581     142    43  1.19   +2.89  +0.114     2.6      no
2022     23653     176    40  0.98   -0.41  -0.027     5.7      no
2023     23558     157    32  0.73   -4.89  -0.150     5.7      no
2024     23738     161    40  1.21   +3.76  +0.100     2.6      no
2025     21508     196    46  1.31   +6.69  +0.229     2.2      no

OVERALL: 1747 trades across 11 years | WR=41% | avgR=+0.068 | positive years=8/11
